board,to_play,move_x,move_y
..........................................,X,3
......................................X...,O,3
...............................O......X...,X,3
........................X......O......X...,O,3
.................O......X......O......X...,X,3
..........X......O......X......O......X...,O,3
...O......X......O......X......O......X...,X,2
...O......X......O......X......O......X...,X,4
...O......X......O......X......O.....XX...,O,2
...O......X......O......X......O......XX..,O,4
...O......X......O......X.....OO.....XX...,X,5
...O......X......O......X......OO.....XX..,X,1
...O......X......O......X.....OO.....XX.X.,O,5
...O......X......O......X......OO...X.XX..,O,1
...O......X......O......X.....OO.O...XX.X.,X,5
...O......X......O......X....O.OO...X.XX..,X,1
...O......X......O......X.X...OO.O...XX.X.,O,5
...O......X......O....X.X....O.OO...X.XX..,O,1
...O......X......O.O....X.X...OO.O...XX.X.,X,5
...O......X....O.O....X.X....O.OO...X.XX..,X,1
...O......X.X....O.O....X.X...OO.O...XX.X.,O,5
...O....X.X....O.O....X.X....O.OO...X.XX..,O,1
...O.O....X.X....O.O....X.X...OO.O...XX.X.,X,0
.O.O....X.X....O.O....X.X....O.OO...X.XX..,X,6
...O.O....X.X....O.O....X.X...OO.O.X.XX.X.,O,0
.O.O....X.X....O.O....X.X....O.OO...X.XX.X,O,6
...O.O....X.X....O.O....X.X.O.OO.O.X.XX.X.,X,0
.O.O....X.X....O.O....X.X....O.OO.O.X.XX.X,X,6
...O.O....X.X....O.O.X..X.X.O.OO.O.X.XX.X.,O,0
.O.O....X.X....O.O....X.X..X.O.OO.O.X.XX.X,O,6
...O.O....X.X.O..O.O.X..X.X.O.OO.O.X.XX.X.,X,0
.O.O....X.X....O.O..O.X.X..X.O.OO.O.X.XX.X,X,6
...O.O.X..X.X.O..O.O.X..X.X.O.OO.O.X.XX.X.,O,0
.O.O....X.X..X.O.O..O.X.X..X.O.OO.O.X.XX.X,O,6
O..O.O.X..X.X.O..O.O.X..X.X.O.OO.O.X.XX.X.,X,6
.O.O..O.X.X..X.O.O..O.X.X..X.O.OO.O.X.XX.X,X,0
O..O.O.X..X.X.O..O.O.X..X.X.O.OO.O.X.XX.XX,O,6
.O.O..O.X.X..X.O.O..O.X.X..X.O.OO.OXX.XX.X,O,0
O..O.O.X..X.X.O..O.O.X..X.X.O.OO.OOX.XX.XX,X,6
.O.O..O.X.X..X.O.O..O.X.X..XOO.OO.OXX.XX.X,X,0
O..O.O.X..X.X.O..O.O.X..X.XXO.OO.OOX.XX.XX,O,6
.O.O..O.X.X..X.O.O..OXX.X..XOO.OO.OXX.XX.X,O,0
O..O.O.X..X.X.O..O.OOX..X.XXO.OO.OOX.XX.XX,X,6
.O.O..O.X.X..XOO.O..OXX.X..XOO.OO.OXX.XX.X,X,0
O..O.O.X..X.XXO..O.OOX..X.XXO.OO.OOX.XX.XX,O,6
.O.O..OXX.X..XOO.O..OXX.X..XOO.OO.OXX.XX.X,O,0
O..O.OOX..X.XXO..O.OOX..X.XXO.OO.OOX.XX.XX,X,1
OO.O..OXX.X..XOO.O..OXX.X..XOO.OO.OXX.XX.X,X,5
......................................XO..,X,3
.....................................OX...,X,3
...............................XO.....XO..,X,3
..............................OX.....OX...,X,3
........................XO.....XO.....XO..,X,3
.......................OX.....OX.....OX...,X,3
